Number of Spaces,10,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Type,Set Id,Intraset Id,Name,Property Cost,House Cost,Hotel Cost,Rent,Rent with House,Rent With Hotel
Go,400,MU,,,,,,,
Property,0,0,Kemper A,500,50,50,50,50,2000
Property,0,1,Kemper B,1000,50,50,100,75,2500
Property,1,0,Bainer A,2000,200,200,200,100,3000
Property,1,1,Bainer B,2500,200,200,250,150,3000
Property,1,2,Bainer C,3000,200,200,300,200,3500
Property,2,0,SocialSci A,4000,400,400,350,300,4000
Property,2,1,SocialSci B,4500,400,400,400,400,4000
Property,2,2,SocialSci C,5000,400,400,450,500,4000
Property,2,3,SocialSci D,5500,400,400,500,600,4500
